ko,en,ko_len,en_len
"이들은 국내 건설 업계의 상위 5개 업체들이다.
","They are the country’s top five domestic construction businesses.
",27,66
"우체국으로 향하는 길입니다.
","“ Thanks for the memories…”
",16,28
"“이제는 매듭지으시기 바랍니다.
","“I need you to close the deal.
",18,31
"변화의 시기가 왔고 여러분들은 그것을 알고 있습니다!
","Because the time for change has come, you know it!
",30,51
"우리들 뒤에는 공정한 바람이 불고 있습니다.”
","And we got a righteous wind at our backs.”
",26,43
"국회와의 업무를 보던 정무수석실은 폐지됐다.
","It abolished the senior secretary for political affairs, who has dealt with the National Assembly.
",25,99
"네, 이 이야기는 유튜브를 통해 실험되었습니다.
","Yeah, that's science according to YouTube.
",27,43
"유죄를 선고하다
","a slap on the wrist:
",9,21
"북한 열차 충돌 사고 발생     2005.08
","Two fuel trains collided at a North Korea.
",27,43
"피해를 입은 부모들의 사진도 또한 보도되었다.
","Photos of distraught parents were also published.
",26,50
"겨울이 엄청난 기세로 찾아오고 있습니다.
","Winter is a-roarin' in.
",23,24
"meteorologist 기상학자 워싱턴 D.C.
","Water main break near Washington, D.C.
",28,39
"미국이 양자 협상에 대한 북한의 제의를 거절했다.
","The United States has dismissed a proposal from North Korea for mutual disarmament talks.
",28,90
"팩스의 송신자는 “김경준의 가족”으로 되어 있었다.
","The sender of the fax was named ``family of Kim Kyung-joon.´´ Her brother Kim Kyung-joon was arrested Sunday after being extradited from the U.S. to Seoul, on charges of stock manipulation and embezzling corporate funds while running BBK and Optional Ventures Korea.
",29,267
"산업자원부
","Ministry of Commerce , industry and Energy:
",6,44
"해외 송금
","overseas remittance:
",6,21
"이번 리콜은 이달 들어서만 두 번째였다.
","The latest recall is the second this month
",23,43
"리차드 쿠이의 사형이 오늘 아침 집행되었습니다.
","Richard Cooey was executed this morning.
",27,41
"(남자 목소리)“ 최우선 과제는 경제난 극복입니다.”
","(male voice)“ The top priority right now is getting the economy out of the ditch.”
",30,83
"방법이야 아무도 알 수 없죠.
","Nobody really knows how to get out of it.
",17,42
"weigh in on 저울질하다, 진단하다, 분석하다
","So, Obama's on the wrong road?
",30,31
"이에따라 니콜스에게 사형이 선고될 수도 있다.
","Nichols could now face the death penalty.
",26,42
"셔리 주교의 선출은 논쟁의 여지가 많다.
","The bishops voted 95-93 to back Ms Schori after a number of ballots, AP news agency reported.
",23,94
"혼란에 빠진 이라크 정부     2005.08
","Iraq Government was mired in confusion.
",26,40
"성적 경험의 대부분은 집이나 친구 집에서 일어났다.
","Most of the sexual experiences took place at their homes or friends' homes.
",29,76
"수백 명의 사람들이 감금되어 있는 것으로 보인다.
","Hundreds of people are thought to be in detention.
",28,51
"산불의 결과로 최소한 14명이 사망했다.
","At least 14 people died as a result of the fires.
",23,50
"최소한 1,800 채의 집과 건물들이 파괴되었다.
","At least 1,800 homes and other buildings have been destroyed.
",28,62
"석유 생산 지역.
","Iraq's South Oil Co.
",10,21
"NEC노대통령, 선거법 위반 판정2007.09
","Roh Violates Election Law Again:
",26,33
"박 후보는 고 박정희 전 대통령의 장녀이다.
","’ Park is the eldest daughter of the late President Park Chung-hee.
",25,68
"한 국방부 관리는 현재 국정원이 수사중이라고 말했다.
","An official with the Defense Ministry said the National Intelligence Service is conducting an investigation.
",30,109
"월가 랠리 소식입니다.
","About the Wall Street rally:
",13,29
"다우지수는 175포인트 올랐습니다.
","the Dow is up 175 points.
",20,26
"항소법원은 지난해 이 벌금형을 부결시킨 바 있습니다.
","The appeals court threw out the fine last year.
",30,48
"4회 말 표가 매진되면서 그는 팬과의 약속을 지켰다.
","The team confirmed the sellout at the end of the fourth inning and Lee kept his end of the promise.”
",30,101
"그러나, 화장의 수요는 낮다.
","However, the number of crematoria is far short of the demand.
",17,62
"인구의 절반이 모여있는 수도권에는 4곳에 불과하다.
","There are only four crematoria in Seoul and nearby metropolitan area, where about half of the total population resides.
",29,120
"그중 수도권에서는 2,754구만이 화장되었다.
","Among them, 2,754 remains were cremated in crematoria in Seoul and Gyeonggi Province, indicating many others were dealt with illegally.”
",26,137
"김씨는 “더 이상 이 곳에 머물고 싶지 않다.
","Kim also expressed his deep desire to return to Korea, saying ```I really don't want to be here anymore.
",26,105
"정말로 가고 싶다. 정말로…”
","I really want to go, I really do.''
",17,36
"한국에 가면 네가 먹고 싶어하는 것 다 사줄게.
","When I go to Korea, I will buy you anything that you want to eat.
",27,66
"여론 조사 결과가 남은 20퍼센트를 차지한다.
","The results of a public opinion poll constitute the remaining 20 percent.
",26,74
"미래 한미 동맹 정책 구상
","Future of the Alliance Policy Initiative:
",15,42
"이들 기업은 법률 개정없이 바로 상장될 수 있다.
","These firms are among those that can be directly listed on the bourse without revising laws.
",28,93
"워싱턴에서 브라이언트 토마스였습니다.”
","Bryant Thomas, Washington.”
",22,28
"deterrence 제지, 저지, 전쟁 억지(력)
","”extended deterrence ” for South Korea in case of an attack from the communist regime.
",28,87
"한국과 미국은 작년 6월, FTA에 서명했다.
","South Korea and the U.S. signed the FTA in June last year.
",26,59
"초고속 열차 KTX 개통     2005.08
","The high-speed train KTX started its service.
",26,46
"감염된 사람들은 최근 멕시코에 체재한 적이 있습니다.
","His Health Ministry is dealing with two unconfirmed cases of the 'non-kosher' flu - Israelis who were in Mexico recently.
",30,122
"(시위자들의 외침)
","[Demonstrators shouting]
",11,25
"외국 자동차 업계, 한국 시장 공략     
","Korea recognized as a growing market in the foreign car industry.
",25,66
"외교부가 또 한번 비난의 목소리에 한 중심에 섰다.
","Most of them, who range in age from 20s to 70s, had sought shelter in the city since last July, according to the Monthly Chosun.
",29,129
"25센트면 큰 돈은 아닙니다, 그렇죠?
","But it sure seems significant when the price of gasoline jumped by that much.
",22,78
"regular grade 보통(일반) 등급
","“ Gasoline now costs $2.30 on average for regular grade ?
",24,58
"pledge 맹세, 서약, 담보, 보증
","Pollution levels have risen and air quality has deteriorated, the report found.
",22,80
"이번 에 머레이는 시청자들의 표를 얻지 못했습니다.
","Murray wasn't saved by the viewers' votes this time.
",29,53
"지하철 타기 겁난다.
","Subway threatens the passengers.
",12,33
"다우지수는 103포인트 상승했습니다.
","The Dow is up 103 points.
",21,26
"폭도들은 백화점 창문을 부수기도 했다.
","In one protest, the windows of a department store were smashed.
",22,64
"오늘 아침은 긍정적인 경제 소식으로 시작합니다.
","We'll start with a little positive news about the economy this morning.
",27,72
"“무역 적자와 관련된 것들을 행해야 합니다.
","“We need to do something about the trade deficit, the huge oil imports, and the huge imports from China, which continue growing!”
",25,130
"폭동은 금요일과 토요일 일어났다.
","The rioting allegedly took place on Friday and Saturday.
",19,57
"불안이 바그다드에 퍼졌다.
","Unrest has spread to Baghdad.
",15,30
"한편 미국은 한국의 요구 3개를 받아주었다.
","The United States, for its part, accepted three Korean demands.
",25,64
"통계청(NSO)
","Nation Statistical Office:
",9,27
"럼스펠드, 군사력 강화 약속     2005.08
","Rumsfeld promised more would be done to protect forces.
",28,56
"야당, 정부가 새 신문법 오용한다 주장해     
","Opposition Party said government is abusing the new regulations for newspaper publisher.
",28,89
"중국 당국은 이 보고서에 대해 아직 논평하지 않았다.
","Chinese authorities have not yet commented on the report.
",30,58
"여행객 마크 스미스 씨는 모든 장면을 목격했습니다.
","Traveler Mark Smith saw it all:
",29,32
"헤롤드 핀터 씨가 타계했습니다.
","Harold Pinter has died.
",18,24
"at large 잡히지 않은, 자유로운
","the suspect is at large.
",22,25
"다케시마는 독도의 일본식 명칭이다.
",""""" Takeshima is the Japanese name for Tokto.
",20,45
"한국에 가장 위협적인 나라는 일본      
","Japan is the most threatened country to Korea.
",25,47
"성적 약탈자의 소행일 수도 있습니다.”
","Maybe there was a sexual predator…”
",22,36
"소녀는 여름 에 실종되었습니다.
","The little girl was reported missing over the summer.
",18,54
"in the eyes of the law 법률상으로
","“We may continue to say she's innocent in the eyes of the law;
",29,63
"“ 거대한 폭풍이 될 것입니다.
","“ This is going to be a major storm.
",18,37
"WTVM-TV에서 제공한 내용입니다.
","That came from WTVM-TV.
",21,24
"여러 건의 미미한 부상들도 보고되었습니다.
","Several minor injuries were reported.
",24,38
"이라크 전쟁 포로 추가 석방     2005.08
","Additional release of Iraqi POWs.
",28,34
"바로 오늘, 더 많은 해고 소식이 발표되었습니다.
","” More job losses announced just today:
",28,40
"또한 입양 수수료 200만원도 지원할 예정이다.
","It will also grant 2 million won in an administrative fee, which is needed for adopting a child.
",27,97
"그녀는 공항 도착 직후 구류되었다.
","She was detained shortly after arriving at the airport.
",20,56
"오늘 국회의사당에는 읽을 것이 넘쳐납니다.
","No shortage of reading material on Capitol Hill today:
",24,55
"“ 한 명이 10분에서 15분 동안 봉독합니다.
","“ Each person comes and reads 10 or 15 minutes.
",27,48
"170포인트 올라 8390포인트가 되었습니다.
","Up 170 points at the 8390 level.
",26,33
"그러나 앞으로도 논쟁은 계속 될 전망이다.
","However, controversy is likely to continue in the near future.
",24,63
"정부, 줄기세포 치료 연구 박차     2005.12
","Korean government seeks to accelerate stem cell therapy.
",30,57
"폭풍으로 인한 쿠바의 피해상황들이 보도되고 있습니다.
","There are reports of some damage to Cuba by the storm.
",30,55
"남해안에 태풍 ‘나비’ 주의보     2005.10
","Typhoon warning issued as Nabi approaches southern Korea.
",29,58
"2006년 영화 '파인드 미 길티'의 한 장면입니다.
","That's a scene from the 2006 movie Find Me Guilty.
",30,51
"오사마빈라덴 체포 임박     2005.08
","The chance of Osama bin Laden’s capture is increasing.
",25,55
"시설 피해는 접수되지 않고 있다.
","No fatalities were reported.
",19,29
"카우치 멤버, 사전 모의 시인     2005.09
","Members of The Couch planned it before the show.
",29,49
"울프위츠는 6월 말 자리를 떠난다.
","Wolfowitz will leave the post at the end of June.
",20,50
"to date 오늘까지, 현재까지
","storm surge, high winds, and heavy rain to Cuba.
",19,49
"한국 동물보호단체들은 ?
","Korean animal rights activists ?
",14,33
"이에 대해 아직까지 침묵하고 있다.
","if they exist- have been silent.
",20,33
"한나라당
","Grand National Party:
",5,22
"전화 도청해도 숨길 것 없다.
","Employment conditions of young adults are deteriorated.
",17,56
"good wishes 축복, 행복을 비는 마음
","She already has Chuku's good wishes:
",26,37
"IP 추적 장치 개발, 사실로 드러나     
","Development of the IP tracking system turned out to be true.
",26,61
"admit to 수용을 허락하다
","“… was admitted to the hospital in Brownsville;
",18,48
"송두율씨, 징역 7년 선고     2005.08
","Song Du-yul was sentenced to 7 years in prison.
",27,48
"하지만, 야전 훈련은 거의 실시되지 않을 예정이다.
","But few field operations will be demonstrated.
",29,47
"북한, 정치적 이유로 식량 지원 거부     
","N.K. refuses food aid because of political reason.
",26,51
"이 두 사업은 남북경협사업의 핵심 사업이다.
","The two projects are flagships of the two Koreas’ business cooperation.
",25,72
"미국 국회의사당에서 제리 볼랜더입니다.”
","Jerry Bolander, Capitol Hill.”
",23,31
"이 공격으로 5번째 아이가 부상을 당했습니다.
","a fifth child was wounded in the attack.
",26,41
"그것은 닉에게 건 작은 속임수에 불과했습니다.
","It was just a little trick with Nick.
",26,38
"그러나 2010년까지는 어렵습니다.”
","But not really till 2010.”
",21,27
"켄 토마스 AP 기자가 전해 드립니다.
","AP correspondent Ken Thomas:
",22,29
"“ 심지어 전화로 진로 문제를 물어본 적도 있어요.
","you know, asked me for career advice, and I'm thinking,, Hello?
",29,64
"“ 약에 취해 있었다는 걸 알아챘어야죠.”
","“ Well, that should've told you he was on the juice.”
",24,54
"“분명한 사실을 한 번 더 말씀 드리겠습니다.
","“Let me state the obvious again:
",26,33
"frantic 굉장한, 지독한, 필사적인
","Joining us live today is the AP's Mark Smith:
",23,46
"중국, YS 대만방문 자제 요청     2005.08
","China, “YS’s visit to Taiwan is improper.”
",30,43
"이는 그들이 함께하는 첫 번째 공연입니다.
","It'll be their first ever concert together.
",24,44
"이는 내셔널리그 디비전시리즈의 1차전입니다.
","It's game one of their National League division series.
",25,56
"다우지수가 177포인트 하락했습니다.
","the Dow off a 177 points.
",21,26
"투표수는 어젯밤 늦게까지 집계되지 않았다.
","The vote counts were not completed until late last night.
",24,58
"감사원
","Board of Audit and Inspection:
",4,31
"culminate 최고점에 달하다, 전성기에 있다
","Crichton created 'ER' in 1994.
",28,31
"poll 여론조사, 설문조사
","It's in its 15th and final season.
",16,35
"이후 사망자는 두 명이 되었다고 경찰은 밝혔다.
","A second person died later, police said.
",27,41
"“불행히도 오늘 날씨는 점점 더 나빠지고 있습니다.
","“Unfortunately, the weather is kind of turning bad a little bit on us today.
",29,77
"오늘 매사추세츠의 공립 학교 상당 수가 휴교했습니다.
","A lot of public schools are closed in Massachusetts today.
",30,59
"“ 금융 위기는 오랜 시간에 걸친 결과입니다.
","“ It took us a long time to get into this mess;
",26,48
"브라이언트 토마스 기자가 더 많은 소식 전합니다.
","Bryant Thomas has more:
",28,24
"이 레이더는 이란 미사일 공격에 대한 경보 시간[주:
","The radar expands Israel's warning time of an Iranian missile strike.
",30,70
"워싱턴에서 북한인권국제회의 열려     2005.09
","A international conference on North Korea’s human rights hold in Washington.
",30,77
"legacy 유산, 유증, 업적
","”I think I spoke for millions when I said at Cabinet today that Tony Blair’s achievements are unique, unprecedented and enduring.
",18,130
"매트 라우어가 어깨를 다쳐 치료를 받고 있습니다.
","Matt Lauer is nursing a bum shoulder.
",28,38
"“ 오늘 매트 라우어 어디에 갔나요?
","“ Where in the world was Matt Lauer today?
",21,43
"현장에서 딱 걸렸네요.
","” They caught him red-handed:
",13,30
"다우지수는 300포인트 가까이 올랐습니다.
","Again, the Dow is up nearly 300 points.
",24,40
"run-in 싸움, 논쟁
","He had a run-in with a deer.
",14,29
"dislocate 위치를 바꾸다, 탈구시키다
","he apparently dislocated his shoulder.
",25,39
"handlebar 자전거나 오토바이의 핸들
","“ Lester Holtz filled in for Lauer as co-host of Today.
",24,56
"“몇몇 주들은 그보다 더 심각합니다.
","“Some states are even worse than that.
",21,39
"점심식사로 바닷가재가 어떠신지요?
","How about a little rock lobster for lunch?
",19,43
"저는 버터를 발라 구워 먹어야겠습니다.
","I'll take mine broiled with butter.
",22,36
"경제 위기, 미 대선에 어떻게 영향을 주었나?
","How did the Financial Crisis Affect the Race?
",26,46
"그들은 신중했습니다.
","They did it discreetly.
",12,24
"대통령의 방문은 보안 문제로 예고 없이 진행되었다.
","The presidential visit was unannounced for security reasons.
",29,61
"“이는 한국 때리기이다.”
","``You could call it Korea bashing.’
",15,36
"검경, 인권에 중점 두겠다.
","Prosecutor’s office and police would focus on human rights.
",16,60
"푸른 바다 깊은 물속의 아기 흰돌고래…)
","“ Baby Beluga in the deep blue sea…”
",23,37
"“저는 오바마가 변화하는 인물이라고 생각합니다.
","“I think he's a transformational figure.
",27,41
"그는 매니토웍 시 역사상 가장 젊은 시장입니다.
","He's the youngest mayor in the city's history.
",27,47
"이는 지구온난화에 대처하기 위한 것입니다.
","It's to fight global warming:
",24,30
"지금 까지 브라이언트 토마스 기자였습니다.
","That's Bryant Thomas.
",24,22
"showdown 대결, 결판
","More now, on tonight's showdown in St.
",16,39
"G8, 북핵 저지 위한 행동 계획 선언2005.08
","' position which is that Washington believes there is evidence the country is trying to develop nuclear weapons.
",29,113
"정상들이 북한 핵개발에 대한 우려를 표명했다.
","The leaders of the Group of Eight nations are sharing their concerns on nuclear weapons.
",26,89
"첫 회담은 5월 7~11일까지 한국에서 개최된다.
","The first talks, from 7 to 11 May, will take place in Seoul.
",28,61
"협상자들은 1년 내에 협상이 마무리되기를 희망한다.
","Officials hope to conclude negotiations within a year.
",29,55
"그는 이번 스캔들의 당사자이다.
","He has been at the centre of a scandal over alleged favoritism.
",18,64
"〔슬픔 따위〕를 가라앉히다;
","Ban said at a press conference.
",16,32
"현재 다우지수는 340포인트가 하락한 상태입니다.
","right now on Wall Street the DOW's down by 340 points.
",28,55
"방금 커다란 폭발음을 들으셨습니까?
","Did you just hear that huge blast?
",20,35
"오늘 오후 에만 적어도 6번의 폭발이 있었습니다.
","There's been at least a half-dozen this afternoon.
",28,51
"인텔 코리아가 한국 연구개발센터를 철수한다.
","ntel Corp., the world's largest chip manufacturer is pulling out of Korea.
",25,75
"모두가 4개월간의 재판 중 무죄를 주장했다.
","All had pleaded not guilty during the four-month trial.
",25,56
"미 국무장관, 북한의 초청 받은 적 없다.
","Secretary of State from North Korea.
",24,37
"prone 경향이 있는, ~하기 일쑤인
","a ministry official said five are still at a military hospital.
",22,64
"“그는 아무런 반응을 보이지 않았습니다.
","“He showed no reaction.
",23,24
"그는 극도로 무표정하고 침착하며 절제되어 있었습니다.
","He was just extremely impassive, extremely composed, controlled.
",30,65
"오늘 아침 주식 시장은 더욱 힘차게 출발했습니다.
","A stronger open this morning;
",28,30
"가이트너 장관은 내일 은행 구제안을 발표할 것입니다.
","Tomorrow Geithner will announce a plan to rescue banks.
",30,56
"그렇죠?
","that are kind of doing us a favor.
",5,35
"네 번째 경찰관은 목숨이 위중한 상태입니다.
","A fourth officer is in grave condition.
",25,40
"가석방 위반자인 용의자 역시 살
","The suspect, a parole violator, was also killed.
",18,49
"중국은 세계인구의 20%인 13억 인구가 살고 있다.
","China has about 1.3 billion people, 20% of the world’s total.
",30,62
"interceptor 가로채는 것(사람), 요격기
","” Speaking to reporters Sunday night at a U.S. military base in Alaska, which Mr.
",28,82
"정부, 핵 개발 관련 법률 제정할 듯     
","Government is planning to establish a law for nuclear issues.
",26,62
"미 대선 이슈, 흠집내기 혹은 진실?
","Mudslinging or Just Presenting Facts?
",21,38
"큰 경기가 3일 앞으로 다가왔습니다.
","We're now just three days away from the big game.
",21,50
"바로 키 리시버에 대한 것입니다.
","key receivers for each team.
",19,29
"템파에서 레스 그랍스틴이었습니다.”
","well, this is kind of old hat to him.
",20,38
"신개념 범죄, 학력 위조범이 생겨났다.
","Both stories today are in the ‘only in Korea’ category… a new crime has been created, degree falsifier.
",22,104
"세 명이 탑승한 캡슐[주:
","The three-man capsule's scheduled to return to Earth tomorrow.
",15,63
"“ 오늘 아침 가시도는 0이었습니다.
","“ This morning, visibility was zero.
",21,37
"고속 열차 G7, 심각한 결함     2005.08
","The bullet train, the G-7, have turned up serious flaws.
",29,57
"다우지수는 현재 200포인트 이상 하락했습니다.
","Traders today are watching some earnings reports coming in and are selling, the Dow now down more than 200 points.
",27,115
"중국, YS 대만방문 자제 요청2005.08
","the mission claimed that the timing of Kim's visit to Taiwan was sensitive.
",25,76
"“둘 사이가 이보다 치열할 수는 없습니다.
","“The two just couldn't be closer;
",24,34
"한국정보통신산업협회
","Korea Association of Information and Telecommunication:
",11,56
"관광·유학·연수 비용 증가 추세     2005.08
","Cost of travel and study abroad swelled out.
",30,45
"승객들이 불만에 차있던 당시의 상황입니다.
","Then was the winter of their discontent:
",24,41
"저는 그렇게 생각합니다.”
","That's what I think.”
",15,22
"어제 일어난 사고였습니다.
","it happened yesterday.
",15,23
"구체적인 병명은 알려지지 않고 있다.
","Details of the illness were unclear.
",21,37
"그러나 아라파트는 이러한 사실을 부정했다.
","Arafat denies the charge.
",24,26
"적어도 5명 이상의 용의자들이 아직 영국에 머물고 있
","American broadcaster ABC News reported that five more suspects still at large in Britain were being ”urgently sought”, citing US sources briefed on the plot.
",30,158
"unimaginable 상상할 수 없는, 기상 천외의
","British police declined to comment on the report.
",30,50
"정부에서는 0.3퍼센트 인상됐다고 밝혔습니다.
","The government says they climbed by 3 tenths of a percent.
",26,59
"제임스 피튼 해안 경비대장이었습니다.
","That is Coast Guard Captain James Fitten.
",21,42
"“사무실에서 공짜 도리토스를 먹는다?
","“Free Doritos at the office today?
",21,35
"영종도와 송도 간 새 다리 곧 착공     
","A new bridge connecting Yeongjongdo and Songdo is going to start its construction soon.
",25,88
"주민에 의한 소행으로 보입니다.”
","It appears to be domestic-related.”
",19,36
"마이클 와인펠드 AP 연예부 편집자가 소식 전합니다.
","AP entertainment editor Michael Weinfeld is here to tell us about it:
",30,70
"take one's own life 자살하다
","“ George would rather take his own life than do something that public!”
",25,72
", “민주주의 사수” 등을 외쳤다.
",""""" and """"Let's protect democracy.
",20,34
"“전반적으로 매우 좋지 못한 연휴 시즌이었습니다.”
","“All in all a pretty awful holiday season.”
",29,44
"요즘 수리업이 호황입니다.
","it's good to be in the business of fixing things these days.
",15,61
"“나와서, 명소를 찾아…”
","“Coming out, lookin for any hot spots-”
",15,40
"(자동차 수리소 소음)
","[Body shop noise in background]
",13,32
"월스트리트에서는 다우지수가 40포인트 빠졌습니다.
","the Dow down 40 points. On the upside of the down economy:
",28,59
"기소, 고발
","The counts include hostage taking and other terrorism charges.
",7,63
"한반도 안보 상황 심각     2005.08
","Current security conditions on the Korean peninsula are grave.
",25,63
"“표현의 자유”가 잘 보장되는 나라 미국.
","So much for “free speech” in the United States.
",24,48
"의견을 진술하다.
","voice one’s opinion:
",10,21
"BBC에서 이 남자는 모하마드 아샤 박사로 밝혀졌다.
","The man has been identified by the BBC as Dr Mohammed Asha.
",30,60
"그녀는 오늘 말문을 열 것으로 예상된다.
","She is expected to speak today.
",23,32
"정부, 일본 교과서 즉시 수정 요구     
","Seoul demands Japanese textbooks corrected immediately.
",25,56
"국세청, 탈세 외국계 펀드에 탈루 세금 추징     
","NTS imposes surcharge on foreign funds for their tax evasion.
",30,62
"오늘 아침 또 하나의 암울한 경제 전망이 나왔습니다.
","Another grim economic forecast this morning.
",30,45
"실제 수치는 오늘 오후 에 발표될 예정입니다.
","The actual numbers will be out later today.
",26,44
"부검은 바하마에서 월요일로 예정되어 있습니다.
","An autopsy in the Bahamas is planned for Monday.
",26,49
"“미군의 분위기는 아주 좋다.
","“The atmosphere among US soldiers is great.
",17,44
"우리는 지금 하고 있는 일을 즐기고 있다.
","We enjoy what we're doing.
",24,27
"좋은 경험이 되는 훈련이다.”
","We've had a good experience out here.”
",17,39
"보병, 보병대 ex) the 3rd Infantry:
","We love training with the ROK battalions, it's good training… it's realistic and it's tough and challenging.
",30,109
"AP는 이 남성이 고백한 내용의 사본을 입수했습니다.
","The AP has obtained a copy of his convention-confession.
",30,57
"인도 해군이 소말리아 해적들과 전투를 벌였습니다.
","The Indian navy has taken some of the fight to Somali pirates.
",28,63
"팀 설리반 AP 특파원이 뉴델리에서 소식 전합니다.
","AP correspondent Tim Sullivan reports from New Delhi:
",29,54
"사방이 온통 진흙 천지가 되어 버렸어요.”
","“Beds are, you know, mattresses are pretty much all wet and dressers, you know on the bottom and there's mud everywhere, thick mud.”
",24,133
"극단적인 인터넷 악플러의 예를들어 볼까요?
","One example of an obsessive online correspondent and critic:
",24,61
"흠, 티나 페이에 관한 뉴스였습니다.
","Fit or fat soldiers?
",21,21
"obsessive 극단적인, 과도한, 강박적인
","She is still as hot as she was late last year.
",26,47
"이 인터뷰는 목요일에 방송됩니다.
","The interview will air on Thursday.
",19,36
"토니상 후보작들이 발표되었습니다.
","The Tony nominations are out:
",19,30
"야후! 2009 YBM시사닷컴.
","and Billy Elliott, the season's biggest musical hit, dominates the 2009 nominations for the best on Broadway;
",18,110
"미군, 모병 목표 달성 못 해     
","Army failed to achieve its recruiting goal.
",22,44
"이제는 수사를 끝낼 시기이다.”
","It is time for this investigation to be concluded,'' he said.
",18,62
"“ 레드리버의 위력은 감당할 수 없을 정도입니다.
","“ The power of the river is just too much;
",28,43
"capitalize on 이용하다, 편승하다
","can capitalize on these favorable conditions.
",25,46
"국립기상국의 브라이언 코데이 기상 캐스터였습니다.
","That's National Weather Service Forecaster Brian Corday.
",28,57
"빅토리아 루피카 공항 대변인의 말이었습니다.
","That's airport spokeswoman Victoria Lupica.
",25,44
"인도의 안보담당 고위 관리가 사임합니다.
","India's top Security Official resigns.
",23,39
"시위 참가자들은 오늘 도시의 거리로 나왔습니다.
","Today demonstrators took to the streets of the city:
",27,53
"“우리는 단 하나의 질문을 하려고 합니다.
","“We are just trying to ask just one question:
",24,46
"테러사건에 대해 정부는 무엇을 했습니까?
","what is the action the Government has taken?
",23,45
"왜 시스템이 정착되지 않은 것입니까?
","Why are the systems not in place?
",21,34
"대체 무엇이 잘못된 것입니까?”
","What is it that went wrong?”
",18,29
"판교 신도시 2만 가구 일제 분양하기로     
","20,000 new apartment units in Pangyo new town will be released at once.
",27,72
"러시아, 북핵 6자회담 추진     2005.08
","Russia pushes for the resumption of the six-party talks on N. K.’
",28,66
"23명의 한국인 단체는 일주일 전 납치되었다.
","A group of 23 Koreans was abducted a week ago.
",26,47
"이후 납치범들은 인질들 중 한 명을 살해했다.
","The kidnappers have since killed one of the hostages.
",26,54
"우린 모두 아프고 문제가 많아요”라고 덧붙였다.
","”We are all sick and we have a lot of problems.”
",27,49
"팔루자, 여전히 위험     2005.08
","It is still dangerous in Falluja.
",24,34
"4월 총선 후보 등록 시작     2005.08
","Registration for election in April is began.
",27,45
"철도청
","Korean National Railroad:
",4,26
"부시 대통령은 “나는 그것을 강하게 지지합니다.
","""""I strongly support that.
",27,27
"한편 사업체들이 다시 열고 법안들이 통과되었다.
","Meanwhile businesses were reopening and national laws were being passed.
",27,73
"이 개정안은 지지를 얻기 위해 당 내에 퍼지고 있다.
","The bill is being circulated to party members to gain backing.
",30,63
"아라파트 수반 건강 다시 악화     2005.08
","Arafat’s health has worsened sharply again.
",29,44
"미국 대사, 사우디 얀부 방문     2005.08
","The U.S. ambassador visited to Yanbu in Saudi.
",29,47
"브라이언 토마스 워싱턴 특파원이 전해 드렸습니다.
","That's Washington correspondent Brian Thomas.
",28,46
"33포인트를 추가했습니다.
","It has added 33 points.
",15,24
"인터넷 통한 집단자살 잇달아     2005.08
","A group suicide through the internet was commited again.
",28,57
"바로 뉴욕 아폴로 극장의 '아마추어 나이트'입니다.
","Amateur Night at the Apollo Theater in New York.
",29,49
"entertainer 연예인
","Long before American Idol, there were two places amateur entertainers could get a big- time break:
",16,99
"산불 같은 단순한 화재였을 수도 있습니다.”
","Maybe it was a fire, some kind of forest fire,"""" she said.
",25,59
"서약, 책임;
","It probably occurred between Wednesday evening and Thursday morning.
",8,69
"레미콘 노동자들도 곧 파업에 동참할 예정이다.
","Ready-mixed concrete industry workers are also expected to join.
",26,65
"컴퓨터 교사와 4명의 보디가드 ?
","a computer instructor and his four bodyguards
",19,46
"영국군은 주로 시아 남쪽에 배치되어 있다.
","British troops are deployed in the mainly Shi´ite south.
",24,57
"이날 청계천 비리와 관련해 2명이 추가로 구속되었다.
","On the same day, two more individuals were arrested in connection with the scandal.
",30,84
"위원회는 건교, 행자부의 지원을 받을 예정이다.
","The committee will be assisted by the construction and government administration ministries.
",27,93
"버락 오바마의 첫 100'일에 관한 소식입니다.
","Barack Obama, the First 100 Days:
",27,34
"“ 그러나 공화당은 아직도 의지를 가지고 있습니다.”
","”“ But the GOP is still willing:
",30,33
"“ 미국인들은 우리가 함께 일하기를 원합니다.”
","”“ The American people want us to work together.”
",27,50
"“ 워싱턴에서 리타 폴리였습니다.”
","“ Rita Foley, Washington.”
",20,27
"wasteful 소모성의, 낭비의
","“ It's going to hurt our economy and hurt jobs in America.
",19,59
"SK 텔레콤은 5퍼센트 상승했다.
","SK Telecom climbed 5 percent.
",19,30
"수시로 수색팀이 실종자들을 찾고 있다고 말했다.
","Earlier, Indonesian President Susilo Bambang Yudhoyono said the search was still ongoing for the missing.
",27,106
"trigger 방아쇠, 계기, 자극
","More than 100 people are thought to have been killed in a tsunami triggered by an earthquake off the island of Java, the Red Cross in Indonesia says.
",20,150
"magnitude 크기, 중요성, 지진 규모
","The earthquake, which had a magnitude of 7.
",25,44
"마크 스미스 백악관 AP 특파원을 연결합니다.
","Here's AP White House correspondent Mark Smith:
",26,48
"detainee 수감자, 억류자
","2 is a Saudi man, who's a former Guantanamo detainee.
",18,54
"이 최고 지도자는 이슬람 대법원장인 것으로 밝혀졌다.
",""""" The top cleric is head of the Higher Council for Islamic Jurisprudence.
",30,75
